Allele	P.value	RAF	OR	Beta	Cl	Mapped.gene	Location
rs73035597-?	5x10-8	NR	-	-	-	AC243964.2	19:44696254
rs2965163-?	5x10-8	NR	-	-	-	AC243964.2	19:44697256
rs12150984-?	5x10-8	NR	-	-	-	AC243964.2	19:44698757
rs11881756-?	1x10-14	NR	-	-	-	AC243964.2	19:44717621
rs11881756-C	5x10-17	0.1138	-	8.381871z-unitdecrease	NR	AC243964.2	19:44717621
rs2965164-T	1x10-13	0.3456	-	7.438834z-unitdecrease	NR	AC243964.2	19:44698782
rs142034848-?	5x10-8	NR	-	-	-	AC243964.2,CEACAM19	19:44673285
rs56261258-?	7x10-14	NR	-	-	-	AC243964.2,PVR	19:44646342
rs56261258-?	1x10-21	NR	-	-	-	AC243964.2,PVR	19:44646342
rs7254776-?	5x10-8	NR	-	-	-	AC243964.2,RF00285	19:44724478
rs4311-?	5x10-8	NR	-	-	-	ACE	17:63483402
rs442495-C	1x10-9	0.32	-	6.07z-unitdecrease	NR	ADAM10	15:58730416
rs442495-C	3x10-7	NR	-	5.147z-scoredecrease	NR	ADAM10	15:58730416
rs593742-?	5x10-6	NR	-	-	-	ADAM10,AC090515.3	15:58753575
rs593742-?	6x10-11	NR	1.06	-	[1.04-1.07]	ADAM10,AC090515.3	15:58753575
rs4575098-A	2x10-10	0.24	-	6.36z-unitincrease	NR	ADAMTS4	1:161185602
rs4575098-A	7x10-8	NR	-	5.394z-scoreincrease	NR	ADAMTS4	1:161185602
rs10948374-?	5x10-8	NR	-	-	-	ADGRF2	6:47679485
rs2734897-?	5x10-8	NR	-	-	-	AGFG2	7:100561944
rs9395255-?	5x10-8	NR	-	-	-	AL355353.1,B3GNTL1P2	6:47424807
rs7920721-?	1x10-10	NR	-	-	-	AL512631.1,AL512631.2	10:11678309
rs11257238-C	1x10-8	0.375	-	5.69z-unitincrease	NR	AL512631.1,AL512631.2	10:11675398
rs76726049-C	3x10-8	0.014	-	5.52z-unitincrease	NR	ALPK2	18:58522227
rs76726049-C	2x10-7	NR	-	5.216z-scoreincrease	NR	ALPK2	18:58522227
rs580064-?	5x10-8	NR	-	-	-	AP001257.1,MS4A2	11:60101646
rs3851179-?	2x10-12	NR	1.0752687	-	-	AP003097.2,RNU6-560P	11:86157598
rs7113976-?	5x10-8	NR	-	-	-	AP003097.2,RNU6-560P	11:86158695
rs7129687-?	5x10-8	NR	-	-	-	AP003097.2,RNU6-560P	11:86160142
rs61904266-?	5x10-8	NR	-	-	-	AP003097.2,RNU6-560P	11:86160172
rs2293479-?	5x10-8	NR	-	-	-	AP4M1	7:100106335
rs117618017-T	3x10-8	0.132	-	5.52z-unitincrease	NR	APH1B	15:63277703
rs117618017-T	3x10-7	NR	-	5.148z-scoreincrease	NR	APH1B	15:63277703
rs3925681-?	3x10-90	NR	-	-	-	APOC1	19:44917843
rs3925681-?	7x10-162	NR	-	-	-	APOC1	19:44917843
rs157595-?	5x10-8	NR	-	-	-	APOC1,APOC1P1	19:44922203
rs8106813-?	5x10-8	NR	-	-	-	APOC1P1	19:44928401
rs60049679-?	2x10-70	NR	-	-	-	APOC1P1,APOC1	19:44926451
rs144311893-?	5x10-8	NR	-	-	-	APOC1P1,APOC1	19:44920687
rs71352239-?	5x10-8	NR	-	-	-	APOC1P1,APOC1	19:44926286
rs60049679-?	2x10-70	NR	-	-	-	APOC1P1,APOC1	19:44926451
rs4263041-?	5x10-10	NR	-	-	-	APOC1P1,APOC4	19:44935386
rs73045691-?	1x10-9	NR	-	-	-	APOC1P1,APOC4	19:44937272
rs73045691-?	2x10-19	NR	-	-	-	APOC1P1,APOC4	19:44937272
rs4263041-?	5x10-10	NR	-	-	-	APOC1P1,APOC4	19:44935386
rs9304644-?	5x10-8	NR	-	-	-	APOC4-APOC2,APOC2	19:44946776
rs7254133-?	5x10-8	NR	-	-	-	APOC4,APOC1P1	19:44935297
rs12721109-?	5x10-8	NR	-	-	-	APOC4,APOC4-APOC2	19:44943964
rs7412-?	9x10-62	NR	-	-	-	APOE	19:44908822
rs7412-?	2x10-76	NR	-	-	-	APOE	19:44908822
rs7412-T	1x10-99	0.07994	-	21.199877z-unitdecrease	NR	APOE	19:44908822
rs769452-C	2x10-8	0.001629	-	5.5855217z-unitincrease	NR	APOE	19:44907853
rs449647-?	2x10-58	NR	-	-	-	APOE,AC011481.1	19:44905307
rs449647-?	2x10-58	NR	-	-	-	APOE,AC011481.1	19:44905307
rs769446-?	5x10-8	NR	-	-	-	APOE,AC011481.1	19:44905371
rs9381563-?	1x10-12	NR	-	-	-	B3GNTL1P2,AL355353.1	6:47464901
rs9381563-C	3x10-10	0.355	-	6.33z-unitincrease	NR	B3GNTL1P2,AL355353.1	6:47464901
rs9381563-C	8x10-6	NR	-	4.463z-scoreincrease	NR	B3GNTL1P2,AL355353.1	6:47464901
rs28399637-?	8x10-72	NR	-	-	-	BCAM	19:44820881
rs28399657-?	5x10-8	NR	-	-	-	BCAM	19:44815094
rs28399637-?	7x10-120	NR	-	-	-	BCAM	19:44820881
rs1135062-?	5x10-8	NR	-	-	-	BCAM	19:44819487
rs28399637-A	2x10-143	0.3156	-	25.508192z-unitincrease	NR	BCAM	19:44820881
rs142092405-G	6x10-12	0.00433	-	6.8754373z-unitincrease	NR	BCAM	19:44820087
rs78986976-?	2x10-7	NR	-	-	-	BCAM,NECTIN2	19:44826181
rs111371860-?	2x10-18	NR	-	-	-	BCAM,NECTIN2	19:44842530
rs148601586-?	2x10-43	NR	-	-	-	BCAM,NECTIN2	19:44843409
rs56394238-?	5x10-8	NR	-	-	-	BCAM,NECTIN2	19:44832419
rs111371860-?	5x10-24	NR	-	-	-	BCAM,NECTIN2	19:44842530
rs28399664-?	5x10-8	NR	-	-	-	BCAM,NECTIN2	19:44821499
rs148601586-?	2x10-43	NR	-	-	-	BCAM,NECTIN2	19:44843409
rs11668738-?	5x10-8	NR	-	-	-	BCAM,NECTIN2	19:44844304
rs10412413-?	5x10-8	NR	-	-	-	BCAM,NECTIN2	19:44824052
rs78986976-?	5x10-9	NR	-	-	-	BCAM,NECTIN2	19:44826181
rs77241309-?	5x10-8	NR	-	-	-	BCAM,NECTIN2	19:44845920
rs1466435-?	5x10-8	NR	-	-	-	BCAM,NECTIN2	19:44839558
rs111371860-T	6x10-35	0.06009	-	12.327317z-unitdecrease	NR	BCAM,NECTIN2	19:44842530
rs78986976-A	8x10-11	0.05489	-	6.508301z-unitdecrease	NR	BCAM,NECTIN2	19:44826181
rs889555-?	3x10-8	NR	1.0526316	-	-	BCKDK	16:31111250
rs2965169-?	6x10-24	NR	-	-	-	BCL3	19:44747899
rs2965169-?	1x10-49	NR	-	-	-	BCL3	19:44747899
rs10401176-?	5x10-8	NR	-	-	-	BCL3	19:44750234
rs62117205-?	5x10-8	NR	-	-	-	BCL3	19:44752009
rs8100197-?	5x10-8	NR	-	-	-	BCL3	19:44750325
rs8103315-?	5x10-8	NR	-	-	-	BCL3	19:44750911
rs114036675-A	3x10-10	0.002756	-	6.2855z-unitincrease	NR	BCL3	19:44759439
rs2965169-C	3x10-57	0.3883	-	15.944032z-unitdecrease	NR	BCL3	19:44747899
rs62117160-?	5x10-8	NR	-	-	-	BCL3,RF00285	19:44728895
rs2927437-?	5x10-8	NR	-	-	-	BCL3,RF00285	19:44738381
rs12459810-?	5x10-8	NR	-	-	-	BCL3,RF00285	19:44746404
rs76320948-T	5x10-8	0.046	-	5.46z-unitincrease	NR	BHMG1	19:45738583
rs17014873-?	4x10-9	NR	-	-	-	BIN1	2:127072643
rs1060743-?	5x10-8	NR	-	-	-	BIN1	2:127068957
rs10194375-?	5x10-8	NR	-	-	-	BIN1	2:127082205
rs72838215-?	5x10-8	NR	-	-	-	BIN1	2:127104478
rs6431219-?	5x10-8	NR	-	-	-	BIN1	2:127104557
rs6733839-?	2x10-8	-	1.0982196	-	NR	BIN1,NIFKP9	2:127135234
rs6733839-?	1x10-27	NR	1.1140478	-	-	BIN1,NIFKP9	2:127135234
rs6733839-?	4x10-21	NR	1.1225677	-	NR	BIN1,NIFKP9	2:127135234
rs58682665-?	5x10-8	NR	-	-	-	BIN1,NIFKP9	2:127127671
rs13025765-?	5x10-8	NR	-	-	-	BIN1,NIFKP9	2:127128657
rs730482-?	5x10-8	NR	-	-	-	BIN1,NIFKP9	2:127136908
rs6733839-?	2x10-64	NR	1.1470575	-	[1.12899064608461-1.16541354700668]	BIN1,NIFKP9	2:127135234
rs6733839-T	1x10-29	0.3797	-	11.3z-unitincrease	NR	BIN1,NIFKP9	2:127135234
rs4663105-C	3x10-44	0.415	-	13.94z-unitincrease	NR	BIN1,NIFKP9	2:127133851
rs4663105-C	6x10-26	NR	-	10.54z-scoreincrease	NR	BIN1,NIFKP9	2:127133851
rs7274581-C	3x10-8	0.084	-	5.53z-unitdecrease	NR	CASS4	20:56443204
rs6014724-G	7x10-10	0.089	-	6.18z-unitdecrease	NR	CASS4	20:56423488
rs6014724-T	6x10-6	NR	-	4.515z-scoredecrease	NR	CASS4	20:56423488
rs6069736-?	3x10-8	NR	-	-	-	CASS4,CSTF1	20:56408019
rs866500-?	5x10-8	NR	-	-	-	CASTOR3	7:100242838
rs858502-?	5x10-8	NR	-	-	-	CASTOR3	7:100245730
rs2967668-?	6x10-13	NR	-	-	-	CBLC	19:44799694
rs112450640-?	5x10-8	NR	-	-	-	CBLC	19:44793107
rs2889414-?	5x10-8	NR	-	-	-	CBLC	19:44794671
rs148933445-?	5x10-8	NR	-	-	-	CBLC	19:44799247
rs2967668-?	4x10-18	NR	-	-	-	CBLC	19:44799694
rs2967668-G	7x10-25	0.1098	-	10.3022z-unitdecrease	NR	CBLC	19:44799694
rs10948363-G	1x10-8	0.2754	-	5.72z-unitincrease	NR	CD2AP	6:47520026
rs9395288-?	5x10-8	NR	-	-	-	CD2AP,ADGRF2	6:47630389
rs2919845-?	5x10-8	NR	-	-	-	CEACAM19,AC243964.2	19:44677956
rs80257887-?	6x10-9	NR	-	-	-	CEACAM20	19:44516798
rs80257887-?	3x10-10	NR	-	-	-	CEACAM20	19:44516798
rs80257887-A	1x10-12	0.03562	-	7.089606z-unitincrease	NR	CEACAM20	19:44516798
rs118104581-?	4x10-8	NR	-	-	-	CEACAM22P	19:44557839
rs11083742-?	5x10-8	NR	-	-	-	CEACAM22P	19:44567824
rs118104581-?	4x10-8	NR	-	-	-	CEACAM22P	19:44557839
rs73046410-?	2x10-10	NR	-	-	-	CEACAM22P	19:44549809
rs75161053-?	5x10-8	NR	-	-	-	CEACAM22P	19:44544863
rs846876-C	1x10-14	0.3755	-	7.715924z-unitdecrease	NR	CEACAM22P	19:44576817
rs75161053-A	2x10-12	0.04757	-	7.0672655z-unitincrease	NR	CEACAM22P	19:44544863
rs10838725-?	2x10-6	NR	1.0392507	-	[1.02288186365195-1.05588153898494]	CELF1	11:47536319
rs79145239-?	4x10-6	NR	-	-	-	CHRNA2	8:27462330
rs2741342-?	5x10-8	NR	-	-	-	CHRNA2	8:27472579
rs79145239-?	1x10-10	NR	-	-	-	CHRNA2	8:27462330
rs34181358-A	3x10-9	0.1063	-	5.9258137z-unitdecrease	NR	CHRNA2	8:27465457
rs123187-A	4x10-8	0.3694	-	5.504638z-unitdecrease	NR	CKM,RPS16P9	19:45327689
rs147188206-?	2x10-9	NR	-	-	-	CLASRP	19:45049329
rs76856627-?	9x10-11	NR	-	-	-	CLASRP	19:45040497
rs112481437-?	6x10-15	NR	-	-	-	CLASRP	19:45045877
rs147188206-?	2x10-9	NR	-	-	-	CLASRP	19:45049329
rs76856627-?	9x10-11	NR	-	-	-	CLASRP	19:45040497
rs112481437-?	6x10-15	NR	-	-	-	CLASRP	19:45045877
rs112481437-A	1x10-17	0.02337	-	8.578216z-unitincrease	NR	CLASRP	19:45045877
rs76856627-G	1x10-16	0.0329	-	8.306043z-unitincrease	NR	CLASRP	19:45040497
rs147188206-C	3x10-14	0.008636	-	7.5976734z-unitincrease	NR	CLASRP	19:45049329
rs57270598-?	5x10-8	NR	-	-	-	CLPTM1	19:44982891
rs116949436-A	7x10-50	0.01073	-	14.848961z-unitincrease	NR	CLPTM1	19:44960129
rs11672748-G	1x10-23	0.3171	-	10.028075z-unitincrease	NR	CLPTM1	19:44986934
rs576651896-G	2x10-11	0.004649	-	6.6975107z-unitincrease	NR	CLPTM1	19:44960141
rs204907-G	9x10-11	0.049	-	6.482148z-unitdecrease	NR	CLPTM1	19:44958739
rs204480-T	6x10-9	0.2501	-	5.81275z-unitdecrease	NR	CLPTM1	19:44973854
rs9331896-?	2x10-7	NR	1.0531651	-	-	CLU	8:27610169
rs4236673-?	1x10-7	NR	-	-	-	CLU	8:27607412
rs9331896-?	1x10-6	NR	1.0626189	-	NR	CLU	8:27610169
rs9331908-?	5x10-8	NR	-	-	-	CLU	8:27606101
rs4236673-?	4x10-25	NR	-	-	-	CLU	8:27607412
rs9331896-C	7x10-17	0.4107	-	8.35z-unitdecrease	NR	CLU	8:27610169
rs4236673-A	3x10-19	0.391	-	8.98z-unitdecrease	NR	CLU	8:27607412
rs9331896-C	6x10-8	NR	-	0.008992unitdecrease	NR	CLU	8:27610169
rs1532278-T	7x10-9	NR	-	5.781z-scoredecrease	NR	CLU	8:27608798
rs3795065-?	5x10-8	NR	-	-	-	CNN2,ABCA7	19:1039445
rs111278892-G	8x10-11	0.161	-	6.5z-unitincrease	NR	CNN2,ABCA7	19:1039324
rs114360492-T	2x10-9	2.59E-4	-	5.99z-unitincrease	NR	CNTNAP2	7:146252937
rs114360492-T	2x10-9	NR	-	5.99z-scoreincrease	NR	CNTNAP2	7:146252937
rs6701713-?	8x10-9	NR	-	-	-	CR1	1:207612944
rs6656401-?	1x10-8	NR	1.0571748	-	-	CR1	1:207518704
rs6656401-?	1x10-6	NR	1.0611985	-	NR	CR1	1:207518704
rs6701713-?	9x10-24	NR	-	-	-	CR1	1:207612944
rs12036785-?	5x10-8	NR	-	-	-	CR1	1:207619564
rs6656401-A	4x10-18	0.1782	-	8.67z-unitincrease	NR	CR1	1:207518704
rs2093760-A	1x10-18	0.205	-	8.82z-unitincrease	NR	CR1	1:207613483
rs6656401-A	4x10-9	NR	-	0.009751unitincrease	NR	CR1	1:207518704
rs679515-?	5x10-9	NR	1.06	-	[1.04,1.08]	CR1,AL137789.1	1:207577223
rs679515-T	9x10-10	NR	-	6.129z-scoreincrease	NR	CR1,AL137789.1	1:207577223
rs11118328-?	5x10-8	NR	-	-	-	CR1L	1:207677194
rs7810606-?	1x10-11	NR	-	-	-	EPHA1-AS1	7:143411065
rs62472729-?	5x10-8	NR	-	-	-	EPHA1-AS1	7:143418968
rs11771145-?	4x10-11	NR	1.0548515	-	[1.04-1.07]	EPHA1-AS1	7:143413669
rs7805776-?	5x10-8	NR	-	-	-	EPHA1-AS1	7:143427203
rs9640386-?	5x10-8	NR	-	-	-	EPHA1-AS1	7:143435090
rs11771145-A	1x10-6	0.3085	-	4.88z-unitdecrease	NR	EPHA1-AS1	7:143413669
rs7810606-T	4x10-11	0.5	-	6.62z-unitdecrease	NR	EPHA1-AS1	7:143411065
rs7810606-T	1x10-6	NR	-	4.891z-scoredecrease	NR	EPHA1-AS1	7:143411065
rs56402156-?	5x10-8	NR	-	-	-	EPHA1	7:143406388
rs3935067-?	5x10-8	NR	-	-	-	EPHA1	7:143407238
rs2269461-?	5x10-8	NR	-	-	-	EPHX2	8:27541103
rs346763-?	3x10-9	NR	-	-	-	EXOC3L2,MARK4	19:45226017
rs346763-?	1x10-12	NR	-	-	-	EXOC3L2,MARK4	19:45226017
rs12461144-?	5x10-8	NR	-	-	-	EXOC3L2,MARK4	19:45220448
rs346757-C	2x10-22	0.08386	-	9.756002z-unitincrease	NR	EXOC3L2,MARK4	19:45222190
rs12461144-T	4x10-12	0.1266	-	6.9530225z-unitincrease	NR	EXOC3L2,MARK4	19:45220448
rs17125924-?	6x10-9	NR	-	-	-	FERMT2,AL139317.5	14:52924962
rs60239918-?	7x10-13	NR	-	-	-	GEMIN7-AS1	19:45077114
rs60239918-?	3x10-13	NR	-	-	-	GEMIN7-AS1	19:45077114
rs7251911-?	5x10-8	NR	-	-	-	GEMIN7-AS1	19:45079144
rs183321458-A	2x10-11	0.003582	-	6.7473207z-unitincrease	NR	GEMIN7-AS1	19:45077818
rs60239918-T	2x10-15	0.03999	-	7.945099z-unitincrease	NR	GEMIN7-AS1	19:45077114
rs78620885-?	5x10-8	NR	-	-	-	GEMIN7-AS1,GEMIN7,MARK4	19:45087826
rs8100183-?	5x10-8	NR	-	-	-	GEMIN7-AS1,MARK4,GEMIN7	19:45081434
rs2718058-?	2x10-6	NR	1.0383158	-	-	GPR141,EPDR1	7:37801932
rs4732728-?	5x10-8	NR	-	-	-	GULOP	8:27584004
rs184384746-T	1x10-8	0.002	-	5.69z-unitincrease	NR	HESX1,IL17RD	3:57192122
rs184384746-T	1x10-8	NR	-	5.695z-scoreincrease	NR	HESX1,IL17RD	3:57192122
rs6931277-T	2x10-7	NR	-	5.22z-scoredecrease	NR	HLA-DQA1,HLA-DRB1	6:32615580
rs6931277-T	8x10-11	0.153	-	6.49z-unitdecrease	NR	HLA-DQA1,HLA-DRB1	6:32615580
rs9469112-T	1x10-10	0.1734	-	6.4424515z-unitincrease	NR	HLA-DRA,HLA-DRB9	6:32447376
rs9271192-?	7x10-10	NR	1.0530598	-	-	HLA-DRB1,HLA-DQA1	6:32610753
rs9271192-C	4x10-8	0.2751	-	5.49z-unitincrease	NR	HLA-DRB1,HLA-DQA1	6:32610753
rs11670070-?	5x10-8	NR	-	-	-	IGSF23	19:44628686
rs11083743-C	1x10-9	0.2682	-	6.0971603z-unitincrease	NR	IGSF23	19:44621921
rs539159088-C	2x10-11	0.01086	-	6.705168z-unitincrease	NR	IGSF23,AC243964.2	19:44634022
rs35349669-?	2x10-10	NR	1.0525334	-	[1.03595530394875-1.06937674771915]	INPP5D	2:233159830
rs10933431-?	5x10-8	NR	-	-	-	INPP5D	2:233117202
rs35349669-T	5x10-9	0.4983	-	5.85z-unitincrease	NR	INPP5D	2:233159830
rs10933431-G	9x10-10	0.235	-	6.13z-unitdecrease	NR	INPP5D	2:233117202
rs35349669-T	6x10-6	NR	-	0.007522unitincrease	NR	INPP5D	2:233159830
rs10933431-G	3x10-6	NR	-	4.708z-scoredecrease	NR	INPP5D	2:233117202
rs59735493-A	4x10-8	0.3	-	5.49z-unitdecrease	NR	KAT8	16:31121779
rs59735493-A	4x10-6	NR	-	4.627z-scoredecrease	NR	KAT8	16:31121779
rs6448451-G	1x10-8	NR	-	5.702z-scoreincrease	NR	LINC02498,MIR572	4:11023058
rs620807-?	5x10-8	NR	-	-	-	MARK4,AC005779.1	19:45203694
rs149495476-?	5x10-8	NR	-	-	-	MARK4,AC005779.1,AC005779.2	19:45193381
rs62118504-?	1x10-9	NR	-	-	-	MARK4,EXOC3L2	19:45231493
rs346758-?	5x10-8	NR	-	-	-	MARK4,EXOC3L2	19:45222481
rs62118504-?	5x10-14	NR	-	-	-	MARK4,EXOC3L2	19:45231493
rs11667829-?	5x10-8	NR	-	-	-	MARK4,EXOC3L2	19:45236417
rs62118504-G	5x10-13	0.3957	-	7.2163415z-unitdecrease	NR	MARK4,EXOC3L2	19:45231493
rs9653111-T	1x10-8	0.1298	-	5.6693845z-unitdecrease	NR	MARK4,GEMIN7,GEMIN7-AS1	19:45089217
rs12461065-?	1x10-8	NR	-	-	-	MARK4,PPP1R37	19:45102050
rs145903417-?	5x10-8	NR	-	-	-	MARK4,PPP1R37	19:45125846
rs12461065-?	1x10-17	NR	-	-	-	MARK4,PPP1R37	19:45102050
rs6448453-A	2x10-9	0.252	-	6z-unitincrease	NR	MIR572,LINC02498	4:11024404
rs1786140-?	5x10-8	NR	-	-	-	MS4A2,AP001257.1	11:60141154
rs983392-G	2x10-11	0.4083	-	6.71z-unitdecrease	NR	MS4A2,AP001257.1	11:60156035
rs983392-G	5x10-6	NR	-	0.007599unitdecrease	NR	MS4A2,AP001257.1	11:60156035
rs501945-?	5x10-8	NR	-	-	-	MS4A3,AP000790.2	11:60076769
rs7108879-?	5x10-8	NR	-	-	-	MS4A4A	11:60313801
rs2081545-A	2x10-15	0.381	-	7.97z-unitdecrease	NR	MS4A4A	11:60190907
rs1582763-A	5x10-9	NR	-	5.857z-scoredecrease	NR	MS4A4A	11:60254475
rs11605427-?	6x10-6	NR	-	-	-	MS4A6A,AP001257.1	11:60161199
rs11605427-?	8x10-17	NR	-	-	-	MS4A6A,AP001257.1	11:60161199
rs4939338-?	5x10-8	NR	-	-	-	MS4A6E,MS4A4A	11:60331752
rs41289512-?	6x10-130	NR	-	-	-	NECTIN2	19:44848259
rs2927468-?	5x10-61	NR	-	-	-	NECTIN2	19:44854682
rs375972689-?	1x10-32	NR	-	-	-	NECTIN2	19:44857231
rs412776-?	1x10-8	NR	-	-	-	NECTIN2	19:44876259
rs6859-?	6x10-75	NR	-	-	-	NECTIN2	19:44878777
rs41290100-?	5x10-8	NR	-	-	-	NECTIN2	19:44867684
rs11666329-?	5x10-8	NR	-	-	-	NECTIN2	19:44851039
rs4803764-?	5x10-8	NR	-	-	-	NECTIN2	19:44854120
rs365653-?	5x10-8	NR	-	-	-	NECTIN2	19:44858389
rs41289512-?	5x10-175	NR	-	-	-	NECTIN2	19:44848259
rs393584-?	5x10-8	NR	-	-	-	NECTIN2	19:44874077
rs412776-?	5x10-15	NR	-	-	-	NECTIN2	19:44876259
rs6859-?	1x10-155	NR	-	-	-	NECTIN2	19:44878777
rs3852860-?	5x10-8	NR	-	-	-	NECTIN2	19:44879709
rs2927468-?	4x10-108	NR	-	-	-	NECTIN2	19:44854682
rs2972558-?	5x10-8	NR	-	-	-	NECTIN2	19:44852884
rs73050293-?	5x10-8	NR	-	-	-	NECTIN2	19:44876489
rs375972689-?	1x10-32	NR	-	-	-	NECTIN2	19:44857231
rs8112526-?	5x10-8	NR	-	-	-	NECTIN2	19:44857505
rs406456-?	5x10-8	NR	-	-	-	NECTIN2	19:44879460
rs12974942-?	5x10-8	NR	-	-	-	NECTIN2	19:44849230
rs12978931-?	5x10-8	NR	-	-	-	NECTIN2	19:44860443
rs4802240-?	5x10-8	NR	-	-	-	NECTIN2	19:44849547
rs143459034-?	5x10-8	NR	-	-	-	NECTIN2	19:44854769
rs11669338-?	5x10-8	NR	-	-	-	NECTIN2	19:44879727
rs150639620-?	5x10-8	NR	-	-	-	NECTIN2	19:44878035
rs41290120-?	5x10-8	NR	-	-	-	NECTIN2	19:44879418
rs41290100-T	2x10-15	0.02432	-	7.9216814z-unitdecrease	NR	NECTIN2	19:44867684
rs41290108-C	3x10-13	0.03803	-	7.317556z-unitdecrease	NR	NECTIN2	19:44874585
rs41289512-G	6x10-276	0.039	-	35.5z-unitincrease	NR	NECTIN2	19:44848259
rs138607350-G	3x10-65	0.00629	-	17.060017z-unitincrease	NR	NECTIN2	19:44860563
rs79701229-A	1x10-64	0.01276	-	16.990263z-unitincrease	NR	NECTIN2	19:44881674
rs183427010-A	3x10-21	0.004629	-	9.459884z-unitincrease	NR	NECTIN2	19:44863241
rs11665676-T	1x10-19	0.05183	-	9.089448z-unitdecrease	NR	NECTIN2	19:44875462
rs419010-C	8x10-9	0.4477	-	5.773656z-unitdecrease	NR	NECTIN2	19:44865063
rs6859-A	1x10-152	0.4218	-	26.320562z-unitincrease	NR	NECTIN2	19:44878777
rs283814-?	5x10-8	NR	-	-	-	NECTIN2,AC011481.3	19:44885967
